erp_invoice_id;reference_id;created;fulfillment_rate
VO18/010799;, SO-331586;2018.02.10 0:00;partially fulfilled
VO18/010801;, SO-331593;2018.02.10 0:00;in stock
VO18/010806;, SO-331596;2018.02.10 0:00;in stock
VO18/010813;EO437377;2018.02.09 15:53;all out of stock
VO18/010814;EO437378;2018.02.09 15:57;all out of stock
VO18/010825;EO437393;2018.02.09 17:03;all out of stock
VO18/010827;EO437395;2018.02.09 17:11;partially fulfilled
VO18/010831;EO437399;2018.02.09 17:30;partially fulfilled
VO18/010836;EO437405;2018.02.09 18:35;partially fulfilled
VO18/010838;EO437408;2018.02.09 18:51;partially fulfilled
VO18/010839;EO437409;2018.02.09 18:55;all out of stock
VO18/010848;EO437421;2018.02.09 20:57;all out of stock
VO18/010862;EO437438;2018.02.09 23:47;partially fulfilled
VO18/010868;EO437445;2018.02.10 8:19;partially fulfilled
VO18/010870;EO437451;2018.02.10 8:53;partially fulfilled
VO18/010893;EO437485;2018.02.10 11:28;in stock
VO18/010898;EO437490;2018.02.10 12:15;in stock
VO18/010911;EO437505;2018.02.10 13:52;partially fulfilled
VO18/010917;EO437513;2018.02.10 14:40;partially fulfilled
VO18/010929;EO437529;2018.02.10 15:47;partially fulfilled
VO18/010937;EO437540;2018.02.10 17:59;partially fulfilled
VO18/010943;EO437549;2018.02.10 19:03;all out of stock
VO18/010968;EO437580;2018.02.10 23:11;partially fulfilled
VO18/010972;EO437585;2018.02.11 1:31;all out of stock
VO18/010978;EO437591;2018.02.11 8:09;in stock
VO18/010984;EO437597;2018.02.11 9:21;partially fulfilled
VO18/010997;EO437613;2018.02.11 10:38;in stock
VO18/010998;EO437614;2018.02.11 10:40;partially fulfilled
VO18/011001;EO437616;2018.02.11 10:43;in stock
VO18/011002;EO437618;2018.02.11 10:50;partially fulfilled
VO18/011004;EO437623;2018.02.11 11:05;in stock
VO18/011009;EO437630;2018.02.11 11:58;partially fulfilled
VO18/011010;EO437632;2018.02.11 12:26;partially fulfilled
VO18/011026;EO437652;2018.02.11 13:47;partially fulfilled
VO18/011047;EO437676;2018.02.11 16:04;partially fulfilled
VO18/011058;EO437687;2018.02.11 17:04;in stock
VO18/011063;EO437693;2018.02.11 17:33;partially fulfilled
VO18/011069;EO437700;2018.02.11 18:09;partially fulfilled
VO18/011073;EO437706;2018.02.11 18:37;partially fulfilled
VO18/011074;EO437707;2018.02.11 18:40;in stock
VO18/011084;EO437722;2018.02.11 19:32;partially fulfilled
VO18/011085;EO437723;2018.02.11 19:38;partially fulfilled
VO18/011096;EO437735;2018.02.11 20:07;partially fulfilled
VO18/011097;EO437736;2018.02.11 20:13;partially fulfilled
VO18/011106;EO437750;2018.02.11 20:54;in stock
VO18/011110;EO437755;2018.02.11 21:11;in stock
VO18/011119;EO437767;2018.02.11 21:39;partially fulfilled
VO18/011121;EO437770;2018.02.11 21:56;all out of stock
VO18/011125;EO437777;2018.02.11 22:31;in stock
VO18/011130;EO437788;2018.02.12 0:12;in stock
VO18/011131;EO437790;2018.02.12 1:52;in stock
VO18/011132;EO437792;2018.02.12 3:52;partially fulfilled
VO18/011138;EO437804;2018.02.12 7:07;in stock
VO18/011140;EO437808;2018.02.12 7:16;in stock
VO18/011141;EO437809;2018.02.12 7:22;in stock
VO18/011143;EO437812;2018.02.12 7:50;in stock
VO18/011146;EO437817;2018.02.12 8:38;in stock
VO18/011147;EO437819;2018.02.12 8:41;in stock
VO18/011148;EO437821;2018.02.12 8:42;in stock
VO18/011150;EO437823;2018.02.12 8:44;in stock
VO18/011151;EO437487;2018.02.10 11:52;in stock
VO18/011152;EO437492;2018.02.10 12:19;in stock
VO18/011153;EO437504;2018.02.10 13:39;partially fulfilled
VO18/011154;EO437512;2018.02.10 14:36;in stock
VO18/011155;EO437514;2018.02.10 14:57;in stock
VO18/011156;EO437521;2018.02.10 15:26;in stock
VO18/011157;EO437524;2018.02.10 15:28;partially fulfilled
VO18/011158;EO437528;2018.02.10 15:41;in stock
VO18/011160;EO437537;2018.02.10 17:39;in stock
VO18/011161;EO437539;2018.02.10 17:58;in stock
VO18/011162;EO437543;2018.02.10 18:23;in stock
VO18/011163;EO437545;2018.02.10 18:41;in stock
VO18/011164;EO437546;2018.02.10 18:43;in stock
VO18/011165;EO437553;2018.02.10 19:25;partially fulfilled
VO18/011166;EO437559;2018.02.10 20:19;in stock
VO18/011167;EO437564;2018.02.10 20:52;in stock
VO18/011168;EO437565;2018.02.10 21:07;in stock
VO18/011169;EO437568;2018.02.10 21:26;in stock
VO18/011170;EO437576;2018.02.10 22:45;in stock
VO18/011171;EO437584;2018.02.11 1:21;partially fulfilled
VO18/011172;EO437599;2018.02.11 9:28;in stock
VO18/011173;EO437601;2018.02.11 9:42;in stock
VO18/011174;EO437609;2018.02.11 10:28;in stock
VO18/011175;EO437619;2018.02.11 10:59;in stock
VO18/011176;EO437621;2018.02.11 11:03;in stock
VO18/011177;EO437622;2018.02.11 11:03;in stock
VO18/011178;EO437625;2018.02.11 11:15;in stock
VO18/011179;EO437629;2018.02.11 11:51;in stock
VO18/011180;EO437631;2018.02.11 12:10;in stock
VO18/011181;EO437638;2018.02.11 12:50;in stock
VO18/011182;EO437650;2018.02.11 13:42;in stock
VO18/011183;EO437660;2018.02.11 14:40;in stock
VO18/011184;EO437670;2018.02.11 15:31;in stock
VO18/011185;EO437683;2018.02.11 16:25;in stock
VO18/011186;EO437685;2018.02.11 16:47;in stock
VO18/011187;EO437698;2018.02.11 17:47;in stock
VO18/011188;EO437704;2018.02.11 18:32;in stock
VO18/011189;EO437705;2018.02.11 18:32;in stock
VO18/011190;EO437708;2018.02.11 18:41;in stock
VO18/011191;EO437712;2018.02.11 18:51;partially fulfilled
VO18/011192;EO437713;2018.02.11 18:56;in stock
VO18/011193;EO437720;2018.02.11 19:17;in stock
VO18/011194;EO437721;2018.02.11 19:25;in stock
VO18/011195;EO437734;2018.02.11 20:05;partially fulfilled
VO18/011196;EO437737;2018.02.11 20:14;in stock
VO18/011197;EO437739;2018.02.11 20:27;in stock
VO18/011198;EO437749;2018.02.11 20:51;in stock
VO18/011199;EO437752;2018.02.11 21:00;in stock
VO18/011200;EO437759;2018.02.11 21:23;in stock
VO18/011201;EO437764;2018.02.11 21:36;in stock
VO18/011202;EO437765;2018.02.11 21:38;in stock
VO18/011203;EO437769;2018.02.11 21:51;in stock
VO18/011204;EO437773;2018.02.11 22:06;in stock
VO18/011206;EO437776;2018.02.11 22:18;in stock
VO18/011207;EO437779;2018.02.11 22:42;in stock
VO18/011208;EO437780;2018.02.11 22:45;in stock
VO18/011209;EO437783;2018.02.11 23:24;in stock
VO18/011210;EO437785;2018.02.11 23:39;in stock
VO18/011211;EO437786;2018.02.11 23:50;in stock
VO18/011212;EO437789;2018.02.12 0:42;in stock
VO18/011213;EO437791;2018.02.12 2:26;in stock
VO18/011214;EO437793;2018.02.12 5:40;in stock
VO18/011215;EO437798;2018.02.12 6:43;partially fulfilled
VO18/011216;EO437799;2018.02.12 6:49;in stock
VO18/011217;EO437800;2018.02.12 6:57;in stock
VO18/011218;EO437802;2018.02.12 7:00;in stock
VO18/011219;EO437803;2018.02.12 7:01;in stock
VO18/011220;EO437805;2018.02.12 7:07;in stock
VO18/011221;EO437807;2018.02.12 7:15;in stock
VO18/011222;EO437811;2018.02.12 7:42;in stock
VO18/011223;EO437814;2018.02.12 7:52;in stock
VO18/011224;EO437816;2018.02.12 8:35;in stock
VO18/011225;EO437818;2018.02.12 8:39;in stock
VO18/011226;EO437820;2018.02.12 8:41;in stock
VO18/011227;EO437824;2018.02.12 8:48;in stock
VO18/011228;EO437828;2018.02.12 8:56;in stock
VO18/011229;EO437830;2018.02.12 8:58;in stock
VO18/011230;, SO-331889;2018.02.12 0:00;in stock
VO18/011235;EO437844;2018.02.12 9:23;in stock
VO18/011236;EO437845;2018.02.12 9:29;all out of stock
VO18/011237;EO437848;2018.02.12 9:39;in stock
VO18/011238;EO437851;2018.02.12 9:45;in stock
VO18/011239;EO437853;2018.02.12 9:53;in stock
VO18/011240;EO437854;2018.02.12 9:56;in stock
VP18/000087/1;ES36555-345098;2018.02.13 0:00;in stock
VP18/000236;ES36555-846855;2018.02.02 22:53;all out of stock
VP18/000241;ES36555-354786;2018.02.04 15:30;all out of stock
VP18/000252;ES36555-585240;2018.02.05 20:35;in stock
VP18/000258;ES36555-856746;2018.02.06 12:49;all out of stock
